ID1,Scholar1,ID2,Scholar2,similarity
443345,陈勇,428139,汤洪涛,0.03333333333333333
443345,陈勇,415370,兰秀菊,0.02857142857142857
443345,陈勇,441372,周红艺,0.025974025974025976
443345,陈勇,425048,秦宝荣,0.018867924528301886
443345,陈勇,423700,潘柏松,0.01744186046511628
443345,陈勇,404552,陈久军,0.015873015873015872
443345,陈勇,409176,冯定忠,0.013793103448275862
443294,李胜,411906,何熊熊,0.032432432432432434
443294,李胜,415723,李刚,0.012269938650306749
443294,李胜,437988,张端,0.009259259259259259
443294,李胜,402475,常丽萍,0.007246376811594203
443291,李胜,425552,阮健,0.31417624521072796
443291,李胜,424267,裴翔,0.19727891156462585
443291,李胜,441831,朱发明,0.10833333333333334
443291,李胜,422425,孟彬,0.09655172413793103
443291,李胜,437262,俞浙青,0.08108108108108109
443291,李胜,413820,贾文昂,0.037037037037037035
443291,李胜,415723,李刚,0.020100502512562814
443291,李胜,437429,袁巨龙,0.017241379310344827
443291,李胜,425470,任燕,0.013793103448275862
443291,李胜,411906,何熊熊,0.01327433628318584
443199,李伟,416047,李华,0.05084745762711865
443199,李伟,407491,邓凯,0.030303030303030304
443199,李伟,415103,金杨福,0.019230769230769232
443199,李伟,441139,钟英杰,0.013888888888888888
443199,李伟,412605,胡晓冬,0.010526315789473684
443199,李伟,425552,阮健,0.00390625
443085,高翔,436346,游红武,0.13333333333333333
443085,高翔,407338,单晓杭,0.08333333333333333
443085,高翔,437431,袁巧玲,0.037037037037037035
443085,高翔,432039,翁泽宇,0.03076923076923077
442685,叶青,417922,李郁锦,0.23711340206185566
442685,叶青,411157,韩亮,0.23214285714285715
442685,叶青,436648,余武斌,0.09836065573770492
442685,叶青,413733,贾建洪,0.05785123966942149
442685,叶青,426373,盛卫坚,0.0379746835443038
442685,叶青,408116,董华青,0.028985507246376812
442685,叶青,413847,贾义霞,0.02247191011235955
442479,左伍衡,427773,孙优萍,0.058823529411764705
442479,左伍衡,432193,吴福理,0.03636363636363636
442479,左伍衡,418949,刘邦明,0.034482758620689655
442479,左伍衡,409100,方喆,0.03333333333333333
442479,左伍衡,414419,蒋炯辉,0.03225806451612903
442479,左伍衡,405552,陈祥华,0.022727272727272728
442479,左伍衡,409407,冯志林,0.009615384615384616
442449,邹树平,412794,胡忠策,0.058823529411764705
442449,邹树平,434181,薛亚平,0.05309734513274336
442449,邹树平,440705,郑裕国,0.04826254826254826
442449,邹树平,431428,王亚军,0.01904761904761905
442449,邹树平,420242,柳志强,0.013215859030837005
442447,邹丽英,427729,孙小权,0.3103448275862069
442434,宗晓晓,414281,蒋革,0.15789473684210525
442434,宗晓晓,418829,林世军,0.058823529411764705
442434,宗晓晓,411063,郭伟青,0.03125
442420,庄桂林,445785,王建国,0.4576271186440678
442420,庄桂林,417078,李小年,0.046125461254612546
442420,庄桂林,429769,王建国,0.027777777777777776
442420,庄桂林,408116,董华青,0.01020408163265306
442420,庄桂林,441795,周瑛,0.007042253521126761
442413,庄德文,431233,王宪保,0.06521739130434782
442413,庄德文,433293,徐军,0.043478260869565216
442413,庄德文,438084,张航,0.01818181818181818
442405,庄程宇,409247,冯静,0.2857142857142857
442405,庄程宇,428990,汪如钢,0.10526315789473684
442405,庄程宇,435205,杨晓莉,0.04
442405,庄程宇,418935,刘骜,0.04
442405,庄程宇,407670,丁蔓琪,0.03333333333333333
442388,祝一锋,402210,岑亚青,0.045454545454545456
442388,祝一锋,417078,李小年,0.044145873320537425
442388,祝一锋,419219,刘化章,0.04395604395604396
442388,祝一锋,413309,霍超,0.02912621359223301
442388,祝一锋,441207,周春晖,0.02127659574468085
442388,祝一锋,438795,张群峰,0.015873015873015872
442388,祝一锋,420572,卢春山,0.01282051282051282
442388,祝一锋,411276,韩文锋,0.011049723756906077
442388,祝一锋,421800,马磊,0.005128205128205128
442359,祝锡萍,414619,蒋贤品,0.02702702702702703
442359,祝锡萍,418838,林素燕,0.021739130434782608
442359,祝锡萍,410767,关宏超,0.020833333333333332
442327,祝铃钰,435589,姚克俭,0.09292035398230089
442327,祝铃钰,434137,许轶,0.07692307692307693
442327,祝铃钰,404842,陈平,0.0759493670886076
442327,祝铃钰,439482,章渊昶,0.05747126436781609
442327,祝铃钰,441945,朱菊香,0.05063291139240506
442327,祝铃钰,418952,刘保柱,0.04411764705882353
442327,祝铃钰,438892,张颂红,0.03260869565217391
442327,祝铃钰,417065,李肖华,0.01020408163265306
442327,祝铃钰,426080,沈绍传,0.008695652173913044
442327,祝铃钰,417948,李育敏,0.008333333333333333
442302,竺炯林,409102,方珠芳,0.16666666666666666
442302,竺炯林,425946,沈建伟,0.13333333333333333
442302,竺炯林,463286,张林,0.13333333333333333
442302,竺炯林,419030,刘刚,0.08333333333333333
442302,竺炯林,403687,陈海英,0.08333333333333333
442302,竺炯林,421131,鲁建厦,0.00909090909090909
442300,诸森儿,425825,申屠高雄,0.08333333333333333
442300,诸森儿,422823,孟玉琴,0.08333333333333333
442300,诸森儿,431589,王永兴,0.07692307692307693
442300,诸森儿,402886,陈德生,0.05263157894736842
442300,诸森儿,421131,鲁建厦,0.018518518518518517
442300,诸森儿,421077,鲁聪达,0.010638297872340425
442300,诸森儿,414069,姜伟,0.007462686567164179
442297,诸葛晴怡,425796,佘静涛,0.17391304347826086
442297,诸葛晴怡,406390,程彦霞,0.07142857142857142
442297,诸葛晴怡,414671,蒋一平,0.05263157894736842
442297,诸葛晴怡,420970,卢振波,0.021739130434782608
442263,朱英红,439035,赵峰鸣,0.12295081967213115
442263,朱英红,433585,徐颖华,0.112
442263,朱英红,416731,李姗姗,0.1095890410958904
